lead_id,customer_id,lead_source_id,employee_id,country_id,lead_created_date,converted_to_account,converted_to_sale,converted_to_installation,days_to_account,days_to_sale,days_to_installation,lead_quality_score,created_at
50000,CUST-10000,1,U1008,2,2023-04-14,1,1,1,101.0,101.0,0.0,0.9,2026-05-24 06:07:05.471695
50001,CUST-10001,2,U1003,2,2023-03-19,1,1,1,133.0,133.0,0.0,0.9,2026-05-24 06:07:05.471695
50002,CUST-10002,3,U1011,3,2022-06-27,1,1,1,0.0,0.0,346.0,1.0,2026-05-24 06:07:05.471695
50003,CUST-10003,3,U1008,1,2022-03-31,1,1,1,114.0,114.0,444.0,0.9,2026-05-24 06:07:05.471695
50004,CUST-10004,4,U1014,1,2023-11-20,1,1,1,23.0,23.0,0.0,0.974444,2026-05-24 06:07:05.471695
50005,CUST-10005,5,U1017,3,2022-10-29,1,1,1,365.0,365.0,0.0,0.9,2026-05-24 06:07:05.471695
50006,CUST-10006,4,U1008,3,2022-04-03,1,1,1,549.0,549.0,180.0,0.9,2026-05-24 06:07:05.471695
50007,CUST-10007,3,U1003,3,2023-01-21,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50008,CUST-10008,3,U1011,2,2022-10-05,1,1,1,168.0,168.0,17.0,0.9,2026-05-24 06:07:05.471695
50009,CUST-10009,6,U1016,3,2022-09-15,1,1,1,326.0,326.0,0.0,0.9,2026-05-24 06:07:05.471695
50010,CUST-10010,8,U1014,1,2022-04-18,1,1,1,192.0,192.0,374.0,0.9,2026-05-24 06:07:05.471695
50011,CUST-10011,2,U1014,3,2024-03-04,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50012,CUST-10012,7,U1017,2,2022-10-25,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50013,CUST-10013,1,U1014,2,2022-10-29,1,1,1,0.0,0.0,131.0,1.0,2026-05-24 06:07:05.471695
50014,CUST-10014,7,U1003,2,2023-06-01,1,1,1,131.0,131.0,0.0,0.9,2026-05-24 06:07:05.471695
50015,CUST-10015,2,U1003,2,2023-06-01,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50016,CUST-10016,3,U1016,1,2024-03-09,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50017,CUST-10017,2,U1014,2,2023-02-02,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50018,CUST-10018,4,U1014,2,2022-07-26,1,1,1,70.0,70.0,0.0,0.922222,2026-05-24 06:07:05.471695
50019,CUST-10019,7,U1003,1,2024-03-25,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50020,CUST-10020,4,U1003,2,2023-03-10,1,1,1,0.0,0.0,18.0,1.0,2026-05-24 06:07:05.471695
50021,CUST-10021,5,U1011,3,2022-07-30,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50022,CUST-10022,2,U1008,2,2023-06-07,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50023,CUST-10023,6,U1017,2,2023-01-23,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50024,CUST-10024,5,U1017,2,2022-02-23,1,1,1,517.0,517.0,36.0,0.9,2026-05-24 06:07:05.471695
50025,CUST-10025,4,U1003,2,2022-08-02,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50026,CUST-10026,2,U1003,2,2023-05-04,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50027,CUST-10027,5,U1003,3,2023-09-04,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50028,CUST-10028,2,U1014,3,2022-04-27,1,1,1,16.0,16.0,26.0,0.982222,2026-05-24 06:07:05.471695
50029,CUST-10029,1,U1003,2,2023-09-14,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50030,CUST-10030,1,U1017,3,2024-01-09,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50031,CUST-10031,4,U1003,2,2022-10-11,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
